Time [s], Analyzer Name, Decoded Protocol Result
0.115820500000000,HDMI CEC,Start Sequence
0.120322500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='15' (0xF) (Unreg/Bcast)
0.139528500000000,HDMI CEC,End of Message = 0
0.141929000000000,HDMI CEC,Acknowledgment = 0
0.144330000000000,HDMI CEC,Opcode '132' (0x84) (ReportPhysicalAddress)
0.163535500000000,HDMI CEC,End of Message = 0
0.165936500000000,HDMI CEC,Acknowledgment = 0
0.187543000000000,HDMI CEC,End of Message = 0
0.189943500000000,HDMI CEC,Acknowledgment = 0
0.211550500000000,HDMI CEC,End of Message = 0
0.213951000000000,HDMI CEC,Acknowledgment = 0
0.235557500000000,HDMI CEC,End of Message = 1
0.237958500000000,HDMI CEC,Acknowledgment = 0
0.253999500000000,HDMI CEC,Start Sequence
0.258468500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
0.277537000000000,HDMI CEC,End of Message = 0
0.279920500000000,HDMI CEC,Acknowledgment = 1
0.282304500000000,HDMI CEC,Opcode } (0x7D) (GiveSystemAudioModeStatus)
0.301377500000000,HDMI CEC,End of Message = 1
0.303761000000000,HDMI CEC,Acknowledgment = 1
0.315267000000000,HDMI CEC,Start Sequence
0.319769000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
0.338975000000000,HDMI CEC,End of Message = 0
0.341375500000000,HDMI CEC,Acknowledgment = 1
0.343776500000000,HDMI CEC,Opcode r (0x72) (SetSystemAudioMode)
0.362982000000000,HDMI CEC,End of Message = 0
0.365383000000000,HDMI CEC,Acknowledgment = 1
0.386989500000000,HDMI CEC,End of Message = 1
0.389390000000000,HDMI CEC,Acknowledgment = 1
0.405294500000000,HDMI CEC,Start Sequence
0.409796500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='15' (0xF) (Unreg/Bcast)
0.429002000000000,HDMI CEC,End of Message = 0
0.431403000000000,HDMI CEC,Acknowledgment = 0
0.433803500000000,HDMI CEC,Opcode r (0x72) (SetSystemAudioMode)
0.453009500000000,HDMI CEC,End of Message = 0
0.455410000000000,HDMI CEC,Acknowledgment = 0
0.477017000000000,HDMI CEC,End of Message = 1
0.479417500000000,HDMI CEC,Acknowledgment = 0
0.495322000000000,HDMI CEC,Start Sequence
0.499823500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
0.519029500000000,HDMI CEC,End of Message = 0
0.521430000000000,HDMI CEC,Acknowledgment = 1
0.523831000000000,HDMI CEC,Opcode '143' (0x8F) (GiveDevicePowerStatus)
0.543036500000000,HDMI CEC,End of Message = 1
0.545437500000000,HDMI CEC,Acknowledgment = 1
0.560148000000000,HDMI CEC,Start Sequence
0.564614500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
0.583690500000000,HDMI CEC,End of Message = 0
0.586075000000000,HDMI CEC,Acknowledgment = 1
0.588459500000000,HDMI CEC,Opcode '144' (0x90) (ReportPowerStatus)
0.607534000000000,HDMI CEC,End of Message = 0
0.609919000000000,HDMI CEC,Acknowledgment = 1
0.631372500000000,HDMI CEC,End of Message = 1
0.633756000000000,HDMI CEC,Acknowledgment = 1
0.645362500000000,HDMI CEC,Start Sequence
0.649864000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
0.669070000000000,HDMI CEC,End of Message = 0
0.671470500000000,HDMI CEC,Acknowledgment = 1
0.673871500000000,HDMI CEC,Opcode '192' (0xC0) (Invalid)
0.693077000000000,HDMI CEC,End of Message = 1
0.695478000000000,HDMI CEC,Acknowledgment = 1
0.710187500000000,HDMI CEC,Start Sequence
0.714655500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
0.733723000000000,HDMI CEC,End of Message = 0
0.736106500000000,HDMI CEC,Acknowledgment = 1
0.738489500000000,HDMI CEC,Opcode '193' (0xC1) (Invalid)
0.757559000000000,HDMI CEC,End of Message = 1
0.759942500000000,HDMI CEC,Acknowledgment = 1
1.135587500000000,HDMI CEC,Start Sequence
1.140057500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
1.159134500000000,HDMI CEC,End of Message = 0
1.161519000000000,HDMI CEC,Acknowledgment = 1
1.163903500000000,HDMI CEC,Opcode '143' (0x8F) (GiveDevicePowerStatus)
1.182979000000000,HDMI CEC,End of Message = 1
1.185363500000000,HDMI CEC,Acknowledgment = 1
1.195469000000000,HDMI CEC,Start Sequence
1.199971000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
1.219176500000000,HDMI CEC,End of Message = 0
1.221577500000000,HDMI CEC,Acknowledgment = 1
1.223978500000000,HDMI CEC,Opcode '144' (0x90) (ReportPowerStatus)
1.243184000000000,HDMI CEC,End of Message = 0
1.245584500000000,HDMI CEC,Acknowledgment = 1
1.267191500000000,HDMI CEC,End of Message = 1
1.269592000000000,HDMI CEC,Acknowledgment = 1
2.135864500000000,HDMI CEC,Start Sequence
2.140334000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
2.159405500000000,HDMI CEC,End of Message = 0
2.161788000000000,HDMI CEC,Acknowledgment = 1
2.164171000000000,HDMI CEC,Opcode F (0x46) (GiveOsdName)
2.183242500000000,HDMI CEC,End of Message = 1
2.185626500000000,HDMI CEC,Acknowledgment = 1
2.195832500000000,HDMI CEC,Start Sequence
2.200334500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
2.219540000000000,HDMI CEC,End of Message = 0
2.221940500000000,HDMI CEC,Acknowledgment = 1
2.224341500000000,HDMI CEC,Opcode G (0x47) (SetOsdName)
2.243547500000000,HDMI CEC,End of Message = 0
2.245948000000000,HDMI CEC,Acknowledgment = 1
2.267554500000000,HDMI CEC,End of Message = 0
2.269955500000000,HDMI CEC,Acknowledgment = 1
2.291562000000000,HDMI CEC,End of Message = 0
