Group,Time,Details
1,0.115820500000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='15' (0xF) (Unreg/Bcast)
End of Message = 0
Acknowledgment = 0
Opcode '132' (0x84) (ReportPhysicalAddress)
End of Message = 0
Acknowledgment = 0
End of Message = 0
Acknowledgment = 0
End of Message = 0
Acknowledgment = 0
End of Message = 1
Acknowledgment = 0"
2,0.253999500000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='5' (0x5) (AudioSystem)
End of Message = 0
Acknowledgment = 1
Opcode } (0x7D) (GiveSystemAudioModeStatus)
End of Message = 1
Acknowledgment = 1"
3,0.315267000000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='0' (0x0) (TV)
End of Message = 0
Acknowledgment = 1
Opcode r (0x72) (SetSystemAudioMode)
End of Message = 0
Acknowledgment = 1
End of Message = 1
Acknowledgment = 1"
4,0.405294500000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='15' (0xF) (Unreg/Bcast)
End of Message = 0
Acknowledgment = 0
Opcode r (0x72) (SetSystemAudioMode)
End of Message = 0
Acknowledgment = 0
End of Message = 1
Acknowledgment = 0"
5,0.495322000000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='0' (0x0) (TV)
End of Message = 0
Acknowledgment = 1
Opcode '143' (0x8F) (GiveDevicePowerStatus)
End of Message = 1
Acknowledgment = 1"
6,0.560148000000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='5' (0x5) (AudioSystem)
End of Message = 0
Acknowledgment = 1
Opcode '144' (0x90) (ReportPowerStatus)
End of Message = 0
Acknowledgment = 1
End of Message = 1
Acknowledgment = 1"
7,0.645362500000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='0' (0x0) (TV)
End of Message = 0
Acknowledgment = 1
Opcode '192' (0xC0) (Invalid)
End of Message = 1
Acknowledgment = 1"
8,0.710187500000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='5' (0x5) (AudioSystem)
End of Message = 0
Acknowledgment = 1
Opcode '193' (0xC1) (Invalid)
End of Message = 1
Acknowledgment = 1"
9,1.135587500000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='5' (0x5) (AudioSystem)
End of Message = 0
Acknowledgment = 1
Opcode '143' (0x8F) (GiveDevicePowerStatus)
End of Message = 1
Acknowledgment = 1"
10,1.195469000000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='0' (0x0) (TV)
End of Message = 0
Acknowledgment = 1
Opcode '144' (0x90) (ReportPowerStatus)
End of Message = 0
Acknowledgment = 1
End of Message = 1
Acknowledgment = 1"
11,2.135864500000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='5' (0x5) (AudioSystem)
End of Message = 0
Acknowledgment = 1
Opcode F (0x46) (GiveOsdName)
End of Message = 1
Acknowledgment = 1"
12,2.195832500000000,"Start Sequence
Header SRC='5' (0x5) (AudioSystem)
 DST='0' (0x0) (TV)
End of Message = 0
Acknowledgment = 1
Opcode G (0x47) (SetOsdName)
End of Message = 0
Acknowledgment = 1
End of Message = 0
Acknowledgment = 1
End of Message = 0
Acknowledgment = 1
End of Message = 0
Acknowledgment = 1
End of Message = 0
Acknowledgment = 1
End of Message = 0
Acknowledgment = 1
End of Message = 1
Acknowledgment = 1"
13,3.136606500000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='1' (0x1) (Recorder1)
End of Message = 1
Acknowledgment = 0"
14,3.172081500000000,"Start Sequence
Header SRC='0' (0x0) (TV)
 DST='1' (0x1) (Recorder1)
End of Message = 1
Acknowledgment = 0"
