Time [s], Analyzer Name, Decoded Protocol Result
0.003806500000000,HDMI CEC,Start Sequence
0.008361500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
0.027789500000000,HDMI CEC,End of Message = 0
0.030217500000000,HDMI CEC,Acknowledgment = 1
0.032642500000000,HDMI CEC,Opcode p (0x70) (SystemAudioModeRequest)
0.052069000000000,HDMI CEC,End of Message = 0
0.054498500000000,HDMI CEC,Acknowledgment = 1
0.076363500000000,HDMI CEC,End of Message = 0
0.078793000000000,HDMI CEC,Acknowledgment = 1
0.100655500000000,HDMI CEC,End of Message = 1
0.103087000000000,HDMI CEC,Acknowledgment = 1
0.115997000000000,HDMI CEC,Start Sequence
0.120499000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='15' (0xF) (Unreg/Bcast)
0.139704500000000,HDMI CEC,End of Message = 0
0.142105500000000,HDMI CEC,Acknowledgment = 0
0.144506500000000,HDMI CEC,Opcode '132' (0x84) (ReportPhysicalAddress)
0.163712000000000,HDMI CEC,End of Message = 0
0.166113000000000,HDMI CEC,Acknowledgment = 0
0.187719500000000,HDMI CEC,End of Message = 0
0.190120000000000,HDMI CEC,Acknowledgment = 0
0.211726500000000,HDMI CEC,End of Message = 0
0.214127500000000,HDMI CEC,Acknowledgment = 0
0.235734000000000,HDMI CEC,End of Message = 1
0.238134500000000,HDMI CEC,Acknowledgment = 0
0.250504000000000,HDMI CEC,Start Sequence
0.255057500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='1' (0x1) (Recorder1)
0.274494000000000,HDMI CEC,End of Message = 1
0.276924000000000,HDMI CEC,Acknowledgment = 0
0.285025000000000,HDMI CEC,Start Sequence
0.289579500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='1' (0x1) (Recorder1)
0.309015000000000,HDMI CEC,End of Message = 1
0.311440500000000,HDMI CEC,Acknowledgment = 0
0.318931500000000,HDMI CEC,Start Sequence
0.323487500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='1' (0x1) (Recorder1)
0.342925500000000,HDMI CEC,End of Message = 1
0.345356000000000,HDMI CEC,Acknowledgment = 0
0.355269500000000,HDMI CEC,Start Sequence
0.359771500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
0.378977500000000,HDMI CEC,End of Message = 0
0.381378000000000,HDMI CEC,Acknowledgment = 1
0.383779000000000,HDMI CEC,Opcode r (0x72) (SetSystemAudioMode)
0.402984500000000,HDMI CEC,End of Message = 0
0.405385500000000,HDMI CEC,Acknowledgment = 1
0.426992000000000,HDMI CEC,End of Message = 1
0.429392500000000,HDMI CEC,Acknowledgment = 1
0.441752000000000,HDMI CEC,Start Sequence
0.446307500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
0.465742500000000,HDMI CEC,End of Message = 0
0.468173000000000,HDMI CEC,Acknowledgment = 1
0.470599500000000,HDMI CEC,Opcode p (0x70) (SystemAudioModeRequest)
0.490027000000000,HDMI CEC,End of Message = 0
0.492453500000000,HDMI CEC,Acknowledgment = 1
0.514320500000000,HDMI CEC,End of Message = 0
0.516751000000000,HDMI CEC,Acknowledgment = 1
0.538615000000000,HDMI CEC,End of Message = 1
0.541044500000000,HDMI CEC,Acknowledgment = 1
0.550354000000000,HDMI CEC,Start Sequence
0.554855500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='15' (0xF) (Unreg/Bcast)
0.574061500000000,HDMI CEC,End of Message = 0
0.576462000000000,HDMI CEC,Acknowledgment = 0
0.578863000000000,HDMI CEC,Opcode r (0x72) (SetSystemAudioMode)
0.598069000000000,HDMI CEC,End of Message = 0
0.600469500000000,HDMI CEC,Acknowledgment = 0
0.622076000000000,HDMI CEC,End of Message = 1
0.624477000000000,HDMI CEC,Acknowledgment = 0
0.636832000000000,HDMI CEC,Start Sequence
0.641389000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='2' (0x2) (Recorder2)
0.660822500000000,HDMI CEC,End of Message = 1
0.663249000000000,HDMI CEC,Acknowledgment = 0
0.670390500000000,HDMI CEC,Start Sequence
0.674892000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
0.694098000000000,HDMI CEC,End of Message = 0
0.696498500000000,HDMI CEC,Acknowledgment = 1
0.698899500000000,HDMI CEC,Opcode '143' (0x8F) (GiveDevicePowerStatus)
0.718105000000000,HDMI CEC,End of Message = 1
0.720506000000000,HDMI CEC,Acknowledgment = 1
0.733472500000000,HDMI CEC,Start Sequence
0.738027500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='2' (0x2) (Recorder2)
0.757461500000000,HDMI CEC,End of Message = 1
0.759891500000000,HDMI CEC,Acknowledgment = 0
0.767378000000000,HDMI CEC,Start Sequence
0.771933500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='2' (0x2) (Recorder2)
0.791371000000000,HDMI CEC,End of Message = 1
0.793801500000000,HDMI CEC,Acknowledgment = 0
0.805431000000000,HDMI CEC,Start Sequence
0.809933000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
0.829139000000000,HDMI CEC,End of Message = 0
0.831539500000000,HDMI CEC,Acknowledgment = 1
0.833940500000000,HDMI CEC,Opcode '192' (0xC0) (Invalid)
0.853146000000000,HDMI CEC,End of Message = 1
0.855547000000000,HDMI CEC,Acknowledgment = 1
0.867902500000000,HDMI CEC,Start Sequence
0.872458000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
0.891895000000000,HDMI CEC,End of Message = 0
0.894324500000000,HDMI CEC,Acknowledgment = 1
0.896755500000000,HDMI CEC,Opcode '144' (0x90) (ReportPowerStatus)
0.916193000000000,HDMI CEC,End of Message = 0
0.918622500000000,HDMI CEC,Acknowledgment = 1
0.940490000000000,HDMI CEC,End of Message = 1
0.942921000000000,HDMI CEC,Acknowledgment = 1
0.980152500000000,HDMI CEC,Start Sequence
0.984711000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
1.004149000000000,HDMI CEC,End of Message = 0
1.006575500000000,HDMI CEC,Acknowledgment = 1
1.009002000000000,HDMI CEC,Opcode '193' (0xC1) (Invalid)
1.028430500000000,HDMI CEC,End of Message = 1
1.030860500000000,HDMI CEC,Acknowledgment = 1
1.060464000000000,HDMI CEC,Start Sequence
1.065019500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='3' (0x3) (Tuner1)
1.084457000000000,HDMI CEC,End of Message = 1
1.086885000000000,HDMI CEC,Acknowledgment = 0
1.094982000000000,HDMI CEC,Start Sequence
1.099538000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='3' (0x3) (Tuner1)
1.118975500000000,HDMI CEC,End of Message = 1
1.121407500000000,HDMI CEC,Acknowledgment = 0
1.128896500000000,HDMI CEC,Start Sequence
1.133452500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='3' (0x3) (Tuner1)
1.152890500000000,HDMI CEC,End of Message = 1
1.155320000000000,HDMI CEC,Acknowledgment = 0
1.182582500000000,HDMI CEC,Start Sequence
1.187140500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='4' (0x4) (Player1)
1.206577500000000,HDMI CEC,End of Message = 1
1.209004500000000,HDMI CEC,Acknowledgment = 0
1.217099500000000,HDMI CEC,Start Sequence
1.221654000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='4' (0x4) (Player1)
1.241084500000000,HDMI CEC,End of Message = 1
1.243515000000000,HDMI CEC,Acknowledgment = 0
1.251001000000000,HDMI CEC,Start Sequence
1.255556500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='4' (0x4) (Player1)
1.274986500000000,HDMI CEC,End of Message = 1
1.277416000000000,HDMI CEC,Acknowledgment = 0
1.304463000000000,HDMI CEC,Start Sequence
1.309019000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
1.328447500000000,HDMI CEC,End of Message = 1
1.330873000000000,HDMI CEC,Acknowledgment = 1
1.364417000000000,HDMI CEC,Start Sequence
1.368972500000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
1.388400500000000,HDMI CEC,End of Message = 0
1.390826500000000,HDMI CEC,Acknowledgment = 1
1.393252500000000,HDMI CEC,Opcode '131' (0x83) (GivePhysicalAddress)
1.412684500000000,HDMI CEC,End of Message = 1
1.415110500000000,HDMI CEC,Acknowledgment = 1
1.425620500000000,HDMI CEC,Start Sequence
1.430122000000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='15' (0xF) (Unreg/Bcast)
1.449328000000000,HDMI CEC,End of Message = 0
1.451728500000000,HDMI CEC,Acknowledgment = 0
1.454129500000000,HDMI CEC,Opcode '132' (0x84) (ReportPhysicalAddress)
1.473335500000000,HDMI CEC,End of Message = 0
1.475736000000000,HDMI CEC,Acknowledgment = 0
1.497342500000000,HDMI CEC,End of Message = 0
1.499743500000000,HDMI CEC,Acknowledgment = 0
1.521350000000000,HDMI CEC,End of Message = 0
1.523750500000000,HDMI CEC,Acknowledgment = 0
1.545357000000000,HDMI CEC,End of Message = 1
1.547758000000000,HDMI CEC,Acknowledgment = 0
1.572830500000000,HDMI CEC,Start Sequence
1.577383000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='5' (0x5) (AudioSystem)
1.596827500000000,HDMI CEC,End of Message = 0
1.599257500000000,HDMI CEC,Acknowledgment = 1
1.601689000000000,HDMI CEC,Opcode p (0x70) (SystemAudioModeRequest)
1.621126500000000,HDMI CEC,End of Message = 0
1.623556500000000,HDMI CEC,Acknowledgment = 1
1.645424000000000,HDMI CEC,End of Message = 0
1.647854000000000,HDMI CEC,Acknowledgment = 1
1.669721500000000,HDMI CEC,End of Message = 1
1.672153000000000,HDMI CEC,Acknowledgment = 1
1.680661500000000,HDMI CEC,Start Sequence
1.685163500000000,HDMI CEC,Header SRC='5' (0x5) (AudioSystem), DST='0' (0x0) (TV)
1.704369500000000,HDMI CEC,End of Message = 0
1.706770000000000,HDMI CEC,Acknowledgment = 1
1.709171000000000,HDMI CEC,Opcode r (0x72) (SetSystemAudioMode)
1.728376500000000,HDMI CEC,End of Message = 0
1.730777500000000,HDMI CEC,Acknowledgment = 1
1.752384000000000,HDMI CEC,End of Message = 1
1.754784500000000,HDMI CEC,Acknowledgment = 1
1.767141500000000,HDMI CEC,Start Sequence
