Group,Line
1,Start Sequence
1,Header SRC='0' (0x0) (TV)
1, DST='5' (0x5) (AudioSystem)
1,End of Message = 0
1,Acknowledgment = 1
1,Opcode p (0x70) (SystemAudioModeRequest)
1,End of Message = 0
1,Acknowledgment = 1
1,End of Message = 0
1,Acknowledgment = 1
1,End of Message = 1
1,Acknowledgment = 1
2,Start Sequence
2,Header SRC='5' (0x5) (AudioSystem)
2, DST='15' (0xF) (Unreg/Bcast)
2,End of Message = 0
2,Acknowledgment = 0
2,Opcode '132' (0x84) (ReportPhysicalAddress)
2,End of Message = 0
2,Acknowledgment = 0
2,End of Message = 0
2,Acknowledgment = 0
2,End of Message = 0
2,Acknowledgment = 0
2,End of Message = 1
2,Acknowledgment = 0
3,Start Sequence
3,Header SRC='0' (0x0) (TV)
3, DST='1' (0x1) (Recorder1)
3,End of Message = 1
3,Acknowledgment = 0
4,Start Sequence
4,Header SRC='0' (0x0) (TV)
4, DST='1' (0x1) (Recorder1)
4,End of Message = 1
4,Acknowledgment = 0
5,Start Sequence
5,Header SRC='0' (0x0) (TV)
5, DST='1' (0x1) (Recorder1)
5,End of Message = 1
5,Acknowledgment = 0
6,Start Sequence
6,Header SRC='5' (0x5) (AudioSystem)
6, DST='0' (0x0) (TV)
6,End of Message = 0
6,Acknowledgment = 1
6,Opcode r (0x72) (SetSystemAudioMode)
6,End of Message = 0
6,Acknowledgment = 1
6,End of Message = 1
6,Acknowledgment = 1
7,Start Sequence
7,Header SRC='0' (0x0) (TV)
7, DST='5' (0x5) (AudioSystem)
7,End of Message = 0
7,Acknowledgment = 1
7,Opcode p (0x70) (SystemAudioModeRequest)
7,End of Message = 0
7,Acknowledgment = 1
7,End of Message = 0
7,Acknowledgment = 1
7,End of Message = 1
7,Acknowledgment = 1
8,Start Sequence
8,Header SRC='5' (0x5) (AudioSystem)
8, DST='15' (0xF) (Unreg/Bcast)
8,End of Message = 0
8,Acknowledgment = 0
8,Opcode r (0x72) (SetSystemAudioMode)
8,End of Message = 0
8,Acknowledgment = 0
8,End of Message = 1
8,Acknowledgment = 0
9,Start Sequence
9,Header SRC='0' (0x0) (TV)
9, DST='2' (0x2) (Recorder2)
9,End of Message = 1
9,Acknowledgment = 0
10,Start Sequence
10,Header SRC='5' (0x5) (AudioSystem)
10, DST='0' (0x0) (TV)
10,End of Message = 0
10,Acknowledgment = 1
10,Opcode '143' (0x8F) (GiveDevicePowerStatus)
10,End of Message = 1
10,Acknowledgment = 1
11,Start Sequence
11,Header SRC='0' (0x0) (TV)
11, DST='2' (0x2) (Recorder2)
11,End of Message = 1
11,Acknowledgment = 0
12,Start Sequence
12,Header SRC='0' (0x0) (TV)
12, DST='2' (0x2) (Recorder2)
12,End of Message = 1
12,Acknowledgment = 0
13,Start Sequence
13,Header SRC='5' (0x5) (AudioSystem)
13, DST='0' (0x0) (TV)
13,End of Message = 0
13,Acknowledgment = 1
13,Opcode '192' (0xC0) (Invalid)
13,End of Message = 1
13,Acknowledgment = 1
14,Start Sequence
